"city","gjson"
"Taif  ","[[40.577696,21.42722000000002],[ 40.63908700000001,21.44285000000001],[ 40.65170100000002,21.44407100000004],[ 40.55772000000001,21.57990300000002],[ 40.55500200000002,21.59418300000002],[ 40.514989,21.563933],[ 40.38996100000003,21.53243499999999],[ 40.36112900000003,21.54102599999998],[ 40.33689,21.54018799999999],[ 40.30100400000001,21.50312600000002],[ 40.316968,21.47479300000002],[ 40.353651,21.42535499999999],[ 40.37060300000002,21.412601],[ 40.37094200000001,21.41211400000003],[ 40.38133300000001,21.35090099999999],[ 40.38735100000002,21.33854199999998],[ 40.38670900000002,21.33699100000003],[ 40.36588599999998,21.30735799999998],[ 40.32999600000001,21.29289700000004],[ 40.35301200000001,21.270764],[ 40.35571499999999,21.26461400000002],[ 40.35215199999999,21.23182399999999],[ 40.33198499999999,21.19881499999999],[ 40.369716,21.193204],[ 40.43094600000001,21.12880100000001],[ 40.432196,21.12972600000001],[ 40.44966000000002,21.18693200000004],[ 40.45215600000002,21.190994],[ 40.45117699999999,21.195184],[ 40.479001,21.24936100000001],[ 40.50350800000003,21.25838799999999],[ 40.50346200000001,21.29538000000001],[ 40.504896,21.299112],[ 40.550419,21.32532400000001],[ 40.53717100000002,21.37440200000003],[ 40.54288300000001,21.39885700000002],[ 40.54331100000001,21.39967399999999],[ 40.577696,21.42722000000002]]"
"Khafji  ","[[48.492905,28.489583],[ 48.471147,28.485893],[ 48.448393,28.421903],[ 48.463957,28.398144],[ 48.489933,28.399179],[ 48.52164,28.417182],[ 48.509177,28.443711],[ 48.498828,28.47966],[ 48.492905,28.489583]]"
"Abu Arish ","[[42.791438,17.01488],[ 42.791684,17.01425],[ 42.802998,17.01457],[ 42.815949,17.021642],[ 42.821496,17.02585],[ 42.825159,17.027832],[ 42.831807,17.028103],[ 42.831749,17.028764],[ 42.837095,17.028433],[ 42.851234,17.02375],[ 42.861682,17.015548],[ 42.870279,16.997967],[ 42.875851,16.981511],[ 42.876575,16.979374],[ 42.876849,16.964034],[ 42.867394,16.938865],[ 42.861728,16.930909],[ 42.856679,16.923819],[ 42.824723,16.912375],[ 42.802594,16.921744],[ 42.78109,16.947526],[ 42.774333,16.958074],[ 42.750353,16.958651],[ 42.750151,16.959217],[ 42.74176,16.982679],[ 42.740969,16.988235],[ 42.739924,16.995573],[ 42.752226,17.003783],[ 42.771909,17.014341],[ 42.791438,17.01488]]"
"Yanbu","[[37.9869441984255,24.1717106606892],[ 37.955616533276,24.1733768067178],[ 37.9306810934,24.1518417422769],[ 37.938883050734,24.1274221967037],[ 38.0069574882537,24.0794419081593],[ 38.0463842588337,24.0595926838303],[ 38.0735588375484,24.04966549235621],[ 38.1029877925873,24.0252569035054],[ 38.115527323753,24.0173777742208],[ 38.1576542738513,23.9937800557315],[ 38.1807362110771,23.9784580088457],[ 38.2060835197896,23.9676868957587],[ 38.2215925603589,23.9539947340203],[ 38.2745149905679,23.92620234228921],[ 38.3093756854234,23.9274038587266],[ 38.3157334873437,23.9369188802397],[ 38.3234542033918,23.9489119420822],[ 38.3176129012535,23.9679671891005],[ 38.2854009141109,23.9932006456436],[ 38.251962238811,24.0251075236349],[ 38.224374053559,24.0466433613595],[ 38.1305947572587,24.1215736705654],[ 38.09166118176081,24.15417952480781],[ 37.9869441984255,24.1717106606892]]"
"Wadi Addawaser","[[44.90317866261491,20.41498377120679],[ 44.91230890082654,20.44304026753915],[ 44.8544594350086,20.47705968620193],[ 44.73529649756476,20.50983694911791],[ 44.7184545151883,20.47209563630356],[ 44.746371497992,20.43380676014991],[ 44.90317866261491,20.41498377120679]]"
"Riyadh  ","[[47.03409129341552,24.86006828475596],[ 46.70689620063759,24.99065207156756],[ 46.51400891847188,24.76551644838951],[ 46.49018466013547,24.55025030413115],[ 46.68011895966697,24.41256153990528],[ 46.98407576277248,24.45945578841156],[ 47.03409129341552,24.86006828475596]]"
"Dammam  ","[[50.221748,26.374198],[ 50.215233,26.51259],[ 50.162083,26.515044],[ 50.155039,26.491521],[ 50.139206,26.508906],[ 50.106948,26.530616],[ 50.101246,26.530821],[ 50.09614,26.567899],[ 50.082505,26.600146],[ 50.046195,26.601441],[ 50.008936,26.592953],[ 49.99501,26.619132],[ 49.985102,26.685064],[ 49.894693,26.685798],[ 49.863461,26.630227],[ 49.894145,26.595036],[ 49.758258,26.51946],[ 49.821818,26.283901],[ 49.98291,26.331994],[ 50.070518,26.339498],[ 50.11181,26.359043],[ 50.15423,26.357052],[ 50.177769,26.361805],[ 50.197765,26.356876],[ 50.209941,26.362503],[ 50.221748,26.374198]]"
"Makkah  ","[[39.65024226118882,21.40738019781964],[ 39.65989373653996,21.39511766375613],[ 39.67350933403289,21.37350217467618],[ 39.68171704820246,21.35612840436891],[ 39.72003878596186,21.36768691673283],[ 39.74141424177344,21.36517039826919],[ 39.74507601164105,21.36138554367888],[ 39.75100688728657,21.2910286911128],[ 39.76510081186257,21.28679818179845],[ 39.78510215683384,21.30466663097732],[ 39.83096748499488,21.32004172834952],[ 39.83732316713322,21.32004430821694],[ 39.85189731563845,21.31527888724594],[ 39.87895218344016,21.24471988335026],[ 39.91134706087288,21.28617670302176],[ 39.93225625416942,21.3018044571868],[ 39.93770120601651,21.30180750631655],[ 39.94318972466744,21.30134580177046],[ 39.95952777423706,21.29838874203046],[ 39.98846363645521,21.28154584974406],[ 40.02662292125631,21.31407832479272],[ 40.03961178425529,21.35867508932384],[ 40.04000555410042,21.3712313082582],[ 40.04256588620875,21.38308863960866],[ 40.04728229607892,21.39783480739499],[ 40.06271131688412,21.41263035732904],[ 40.06495726996731,21.41515858579631],[ 40.05264394135534,21.45056917687823],[ 39.99256302013284,21.45618090741185],[ 39.98071050386005,21.48110494949779],[ 39.99974579373124,21.51908799964063],[ 39.99701019193483,21.52583885521014],[ 39.98428381206992,21.52583828824047],[ 39.96928548589134,21.51950361312974],[ 39.93335716289663,21.51482381167721],[ 39.91383537844493,21.53253289429507],[ 39.9061355592908,21.53127989998554],[ 39.86581759896662,21.540250552575],[ 39.85303359501041,21.5350132517595],[ 39.83536718101297,21.54309876967896],[ 39.82585461230553,21.55251480653111],[ 39.82222237640706,21.55846804605262],[ 39.82131661395985,21.56996597217742],[ 39.82177222950437,21.5750752371765],[ 39.81312578726062,21.58395506655423],[ 39.79174253921423,21.5848277871307],[ 39.78353622678695,21.58703642567489],[ 39.77943428360693,21.58958878268137],[ 39.75799300957481,21.61040132566817],[ 39.74887435957137,21.60999281269181],[ 39.74522680338254,21.60915173446723],[ 39.73931040137143,21.59940979884479],[ 39.73526320444612,21.56674789101779],[ 39.7253742755147,21.53696248498784],[ 39.71981073427433,21.52693554015959],[ 39.71209140418997,21.51590568607931],[ 39.70756298113139,21.50445647878286],[ 39.70211046956338,21.50063516190097],[ 39.69667642704588,21.4921490391882],[ 39.69215924041555,21.48704885363806],[ 39.6734303020631,21.46969977098623],[ 39.65024226118882,21.40738019781964]]"
"Hafuf  ","[[49.442733,25.265753],[ 49.525974,25.251906],[ 49.761458,25.250917],[ 49.766723,25.374957],[ 49.762988,25.446477],[ 49.754476,25.491803],[ 49.728354,25.494349],[ 49.661627,25.512641],[ 49.633878,25.570478],[ 49.600714,25.634434],[ 49.540799,25.637162],[ 49.526299,25.625711],[ 49.472306,25.588181],[ 49.424114,25.546642],[ 49.355111,25.432901],[ 49.357302,25.328062],[ 49.442733,25.265753]]"
"Khubar  ","[[50.197747,26.356504],[ 50.169312,26.359595],[ 50.157401,26.356283],[ 50.11359,26.358123],[ 50.10072,26.345612],[ 50.083196,26.337024],[ 50.02761,26.331134],[ 49.999133,26.312154],[ 49.885225,26.229618],[ 49.863867,26.091566],[ 49.899463,26.019348],[ 50.171091,26.02647],[ 50.329906,26.153223],[ 50.339764,26.205299],[ 50.239808,26.289204],[ 50.231179,26.343577],[ 50.208219,26.35991],[ 50.197747,26.356504]]"
"Jeddah  ","[[39.10291292314559,21.28997958268886],[ 39.18593525946505,21.16183522690705],[ 39.23779624441951,21.22780223000074],[ 39.3738078272007,21.26403401734424],[ 39.41324214021339,21.39528198299925],[ 39.47726681716831,21.47937626101585],[ 39.49085184011604,21.57188356748847],[ 39.47079962799754,21.66148003980501],[ 39.35112008733952,21.76083713358944],[ 39.35102532616579,21.79498666002805],[ 39.31256419914777,21.83197556490018],[ 39.24651151943786,21.84187667377872],[ 39.18165603992515,21.91164294955605],[ 39.16172263563417,21.90019127904858],[ 39.05691624542975,21.9313466585573],[ 39.05033926764253,21.99561026944267],[ 38.96673542803591,22.03974907810679],[ 38.92683865880172,22.01245674870451],[ 38.9758279676739,21.85401756017213],[ 39.08126816356771,21.70607498129947],[ 39.10291292314559,21.28997958268886]]"
"Madinah  ","[[39.5526190084736,24.29079802878742],[ 39.55697802120135,24.29391787862918],[ 39.59019621009247,24.30816936910934],[ 39.59969132912384,24.31573803489537],[ 39.61449123248614,24.32581466245088],[ 39.63015080356077,24.33313557628965],[ 39.64177585419903,24.33983318993128],[ 39.64875080075782,24.34371266228284],[ 39.66153262429349,24.35041589148507],[ 39.66927532696148,24.35323776214143],[ 39.688234164324,24.36134756398761],[ 39.70561173061766,24.36522008697147],[ 39.7191944661697,24.39518163433786],[ 39.72470241373546,24.41530264185508],[ 39.72722859631141,24.42285990654078],[ 39.72969394029656,24.43501826393933],[ 39.73134318880715,24.44669802110944],[ 39.73135332246456,24.45763801881167],[ 39.73300536427077,24.47057256754115],[ 39.73903618718114,24.48599928175571],[ 39.74864016434709,24.50369978960288],[ 39.75303640199766,24.51019549050643],[ 39.75798876444743,24.51794807468297],[ 39.76466347632829,24.52891674555116],[ 39.76773620714152,24.53561372259906],[ 39.77075016493978,24.54137314888454],[ 39.7709547127084,24.54588897493892],[ 39.7708207659374,24.55409637734585],[ 39.77010544642852,24.5583601501471],[ 39.76954462199858,24.56085873260521],[ 39.76859684903138,24.56369084425348],[ 39.76812324993156,24.57023452122695],[ 39.76479271690047,24.57316108020307],[ 39.75931844597717,24.57542779635813],[ 39.75355248002035,24.57926342365035],[ 39.74624845917742,24.58227175499026],[ 39.73608969799047,24.58403227324452],[ 39.73114412851352,24.58703221868137],[ 39.72208098844031,24.58954045526457],[ 39.71631350687514,24.59254678405341],[ 39.70724509675209,24.59630973751935],[ 39.69350694113216,24.60206037303215],[ 39.68472851730539,24.60704373221522],[ 39.67409415917751,24.60946339926094],[ 39.66613038469787,24.61197177688604],[ 39.6594407230195,24.6130605481254],[ 39.65368512706368,24.61330038440635],[ 39.64344593908899,24.61985285269071],[ 39.63543933038198,24.61862307016359],[ 39.62361074521716,24.61537055563054],[ 39.60790063127854,24.61573207729236],[ 39.59178287417658,24.61442837032216],[ 39.57318051663408,24.61070232749131],[ 39.55833103692905,24.60755137016428],[ 39.54844580124841,24.60459278262892],[ 39.5420985317007,24.59579290016671],[ 39.52855904766674,24.58808044084535],[ 39.51265558360392,24.57771677611937],[ 39.49855640595528,24.56433000545228],[ 39.48894030441222,24.54272685950977],[ 39.48302499705032,24.52832785242843],[ 39.47887944443331,24.52052257362547],[ 39.47211101419416,24.50863311681573],[ 39.46569333706259,24.49857498711538],[ 39.45882334888054,24.48598001852278],[ 39.45509254214625,24.4803605059771],[ 39.44598162737447,24.47049651273794],[ 39.43790733251659,24.45612018101767],[ 39.42823379717905,24.441740022199],[ 39.42952470722415,24.42443441359579],[ 39.44149472902996,24.39654841111076],[ 39.4439961629144,24.37989641650434],[ 39.46364934330926,24.35067524627494],[ 39.47357160578837,24.33530886664136],[ 39.48391249725932,24.32062810780251],[ 39.49618627141375,24.31014139906738],[ 39.5038647484348,24.30175448187958],[ 39.51153655519213,24.29510459403553],[ 39.52342075221512,24.28911022025978],[ 39.53801357537965,24.28485636001949],[ 39.54916053000101,24.28624522157075],[ 39.55031286855004,24.2893958872068],[ 39.5526190084736,24.29079802878742]]"
