"city","gjson"
"Khamis Mushait  ","[[42.623274,18.272763],[ 42.62347,18.272949],[ 42.632289,18.281323],[ 42.639702,18.279801],[ 42.646513,18.282274],[ 42.648917,18.293117],[ 42.658534,18.300726],[ 42.659335,18.308905],[ 42.657933,18.320128],[ 42.653325,18.331352],[ 42.653125,18.336868],[ 42.646914,18.345999],[ 42.649118,18.352847],[ 42.657532,18.353988],[ 42.669552,18.354559],[ 42.67436,18.344287],[ 42.694616,18.340716],[ 42.698902,18.340716],[ 42.703188,18.33904],[ 42.708092,18.344394],[ 42.717918,18.346394],[ 42.725647,18.342393],[ 42.74074,18.343727],[ 42.747051,18.349061],[ 42.765813,18.355004],[ 42.765998,18.355063],[ 42.77408,18.349728],[ 42.784625,18.340393],[ 42.782182,18.330725],[ 42.778334,18.321723],[ 42.791338,18.311054],[ 42.810289,18.314721],[ 42.820123,18.311721],[ 42.824711,18.294718],[ 42.821218,18.283049],[ 42.819129,18.271046],[ 42.824739,18.261441],[ 42.824709,18.26143],[ 42.80338,18.253888],[ 42.802075,18.253427],[ 42.797088,18.257077],[ 42.78999,18.262273],[ 42.789883,18.262351],[ 42.785385,18.262273],[ 42.778165,18.262148],[ 42.778062,18.262146],[ 42.777662,18.26181],[ 42.771031,18.256243],[ 42.758786,18.248622],[ 42.747337,18.23929],[ 42.747049,18.239525],[ 42.726356,18.256381],[ 42.720802,18.268282],[ 42.718842,18.272279],[ 42.713699,18.283601],[ 42.709219,18.281513],[ 42.700004,18.276377],[ 42.67997,18.266676],[ 42.665145,18.266296],[ 42.661539,18.254502],[ 42.66193,18.243156],[ 42.661935,18.243013],[ 42.661937,18.242968],[ 42.661939,18.242898],[ 42.661607,18.24314],[ 42.659538,18.244648],[ 42.65935,18.244785],[ 42.653325,18.249176],[ 42.649741,18.251008],[ 42.648116,18.251839],[ 42.647323,18.252216],[ 42.645532,18.253066],[ 42.645216,18.253216],[ 42.64451,18.253551],[ 42.642517,18.253662],[ 42.641713,18.253707],[ 42.641111,18.253741],[ 42.641104,18.253741],[ 42.623274,18.272763]]"
"Buraidah  ","[[43.89669138952284,26.19905282115155],[ 44.03364381678746,26.19589714786712],[ 44.09054413129044,26.2235839069287],[ 44.09513145619316,26.31248558942274],[ 44.07172467613659,26.38099616251344],[ 44.02208816612843,26.41724939623457],[ 43.96870892953211,26.43364790061905],[ 43.93043361916892,26.44552611486271],[ 43.87755849660364,26.45861964644988],[ 43.8388958686019,26.41653076971354],[ 43.84289066528637,26.35590860275814],[ 43.85288914770383,26.27628785089921],[ 43.8797147471895,26.21393750745633],[ 43.89669138952284,26.19905282115155]]"
"Arar  ","[[41.072915,30.984612],[ 41.039994,31.00603],[ 40.949514,31.019233],[ 40.936336,30.997566],[ 40.90449,30.985319],[ 41.103251,30.902416],[ 41.080191,30.953288],[ 41.075503,30.970316],[ 41.072915,30.984612]]"
"Jizan  ","[[42.53468042720963,16.97142041018295],[ 42.53955921383834,16.93228226399263],[ 42.536429,16.912359],[ 42.5254,16.888087],[ 42.532018,16.871729],[ 42.565107,16.825823],[ 42.637749,16.80614],[ 42.652522,16.830763],[ 42.646727,16.839014],[ 42.639558,16.852206],[ 42.653345,16.858538],[ 42.651139,16.927661],[ 42.657934,16.928207],[ 42.663055,16.93863],[ 42.671558,16.947532],[ 42.656645,16.968302],[ 42.656479,16.968533],[ 42.613638,16.944018],[ 42.613638,16.97304],[ 42.56989889264818,16.98721893990751],[ 42.54140250766544,16.98958301056561],[ 42.53468042720963,16.97142041018295]]"
"Muhayel  ","[[42.031993,18.659281],[ 42.032701,18.655831],[ 42.032736,18.631669],[ 42.032742,18.627826],[ 42.038381,18.612489],[ 42.053151,18.594486],[ 42.061592,18.583817],[ 42.074948,18.572481],[ 42.087592,18.568481],[ 42.093217,18.56248],[ 42.100951,18.555145],[ 42.119907,18.555145],[ 42.147303,18.545143],[ 42.138202,18.527806],[ 42.122077,18.511803],[ 42.112282,18.488465],[ 42.083524,18.469795],[ 42.056855,18.463127],[ 42.026644,18.477796],[ 41.995025,18.494466],[ 41.978832,18.525139],[ 41.97809,18.552478],[ 41.99842,18.573148],[ 41.992044,18.612489],[ 41.99201,18.63516],[ 41.974422,18.659832],[ 41.95821,18.703174],[ 41.974323,18.727178],[ 41.996793,18.725178],[ 42.019991,18.705174],[ 42.028458,18.676502],[ 42.031993,18.659281]]"
"Unaizah","[[43.95455766832227,26.14253343821741],[ 43.91416325373991,26.10276047046251],[ 43.90601899269343,26.08191626601459],[ 43.90818154646988,26.06540540662543],[ 43.94067926602784,26.03586344719859],[ 43.94849575106164,26.02904484971649],[ 43.97444353101803,26.01627798015615],[ 44.02810115636363,26.02380367135078],[ 44.07015266148963,26.0612111257607],[ 44.07737875187881,26.08883674493353],[ 44.06492699667089,26.11923300914648],[ 44.02653333500092,26.13553128469225],[ 43.95455766832227,26.14253343821741]]"
"Baha  ","[[41.511711,20.10828000000002],[ 41.51587000000004,20.14707699999999],[ 41.51315800000002,20.16052900000002],[ 41.51832000000003,20.18665300000002],[ 41.51704400000001,20.19889799999999],[ 41.42220900000001,20.17033200000002],[ 41.37698000000003,20.12946800000001],[ 41.39422100000002,20.109939],[ 41.40322900000002,20.07625400000002],[ 41.38710700000002,20.04818000000003],[ 41.38728499999999,20.039377],[ 41.361077,19.99689300000001],[ 41.37326299999999,19.96963600000003],[ 41.40729099999998,19.95238699999998],[ 41.41568400000001,19.95411599999999],[ 41.46082100000002,19.93951],[ 41.48008700000002,19.966361],[ 41.50970000000004,19.97676200000003],[ 41.51649800000003,19.97325200000002],[ 41.56570500000002,19.991445],[ 41.58155399999998,20.01477399999999],[ 41.531479,20.03007700000002],[ 41.511711,20.10828000000002]]"
"Najran  ","[[44.46588500000001,17.520816],[ 44.60766200000001,17.61933500000002],[ 44.61270400000003,17.65540800000002],[ 44.45890399999998,17.62210400000003],[ 44.39766700000004,17.69746400000001],[ 44.33798100000001,17.71173500000003],[ 44.32879299999998,17.72714200000003],[ 44.276394,17.738635],[ 44.20103599999998,17.64452499999999],[ 44.20873399999999,17.62546300000002],[ 44.20605100000003,17.61193800000002],[ 44.19101300000001,17.58522500000001],[ 44.18233200000002,17.57710200000001],[ 44.179935,17.57522100000001],[ 44.16816799999998,17.56882600000002],[ 44.15901700000001,17.56654400000002],[ 44.15573800000001,17.56438900000001],[ 44.130322,17.561149],[ 44.11803100000002,17.55184600000001],[ 44.09304900000003,17.53959400000002],[ 44.07067499999999,17.535212],[ 44.06069400000003,17.53566200000002],[ 44.021275,17.49551100000002],[ 43.971664,17.47172599999999],[ 43.90894400000001,17.39010200000002],[ 43.90206699999999,17.37535900000001],[ 43.89572499999999,17.34131100000001],[ 43.90555300000001,17.34166099999999],[ 43.92166499999999,17.33873200000001],[ 43.926697,17.337817],[ 43.92855900000003,17.33747900000001],[ 43.96666500000002,17.33055200000001],[ 43.992333,17.37208500000002],[ 44.00399400000001,17.390692],[ 44.01135800000001,17.40246700000001],[ 44.02327700000001,17.39130800000001],[ 44.049582,17.40491600000004],[ 44.06666300000002,17.40583500000002],[ 44.06842199999999,17.40377299999999],[ 44.07947200000001,17.39082500000001],[ 44.07947200000001,17.39082400000001],[ 44.08015500000001,17.390023],[ 44.100605,17.36605800000002],[ 44.110826,17.366391],[ 44.130833,17.38360700000003],[ 44.13805600000003,17.40889100000004],[ 44.15066899999999,17.41039500000002],[ 44.15193300000001,17.410546],[ 44.15448800000002,17.41085100000002],[ 44.16944800000002,17.41263499999998],[ 44.17087800000003,17.41280499999998],[ 44.17927800000004,17.41380699999999],[ 44.18364700000002,17.41411400000001],[ 44.18364800000002,17.41411400000001],[ 44.19027800000003,17.414579],[ 44.202096,17.41412500000001],[ 44.208326,17.41388600000001],[ 44.21329600000003,17.41495400000001],[ 44.21355000000003,17.41500900000001],[ 44.226966,17.41789100000002],[ 44.23968800000003,17.41927100000001],[ 44.252349,17.42042500000001],[ 44.25305500000003,17.42048900000003],[ 44.26321400000001,17.42141599999999],[ 44.27121600000002,17.42211299999998],[ 44.30118100000001,17.42565700000001],[ 44.30273200000001,17.42584],[ 44.32548400000001,17.42853],[ 44.32978600000002,17.42903899999998],[ 44.331381,17.42922799999999],[ 44.36610400000001,17.433334],[ 44.435948,17.43333100000003],[ 44.43746899999999,17.43333100000003],[ 44.43869300000002,17.43333100000003],[ 44.44949300000001,17.43333100000003],[ 44.44640200000001,17.458133],[ 44.46588500000001,17.520816]]"
"Bishah  ","[[42.571809,20.050749],[ 42.574545,20.054768],[ 42.574817,20.055168],[ 42.589198,20.064431],[ 42.603382,20.073568],[ 42.603539,20.073669],[ 42.640763,20.073716],[ 42.642043,20.072815],[ 42.651011,20.066504],[ 42.650991,20.05968],[ 42.655612,20.030384],[ 42.650411,20.007498],[ 42.637063,19.978581],[ 42.631017,19.959707],[ 42.616418,19.942027],[ 42.585652,19.955636],[ 42.572425,19.968463],[ 42.554562,20.005369],[ 42.555045,20.024235],[ 42.566198,20.033883],[ 42.571809,20.050749]]"
"Gurayyat  ","[[37.281244,31.419384],[ 37.270624,31.397541],[ 37.319563,31.307976],[ 37.332965,31.269377],[ 37.361344,31.265514],[ 37.457472,31.220207],[ 37.441516,31.311734],[ 37.397929,31.340484],[ 37.37154,31.352817],[ 37.281244,31.419384]]"
